league,season,game,stage_id,game_id,status,start_time,home_team_id,home_team,home_yellow_cards,home_red_cards,away_team_id,away_team,away_yellow_cards,away_red_cards,has_incidents_summary,has_preview,score_changed_at,elapsed,last_scorer,is_top_match,home_team_country_code,away_team_country_code,comment_count,is_lineup_confirmed,is_stream_available,match_is_opta,home_team_country_name,away_team_country_name,date,home_score,away_score,incidents,bets,aggregate_winner_field,winner_field,period,extra_result_field,home_extratime_score,away_extratime_score,home_penalty_score,away_penalty_score,started_at_utc,first_half_ended_at_utc,second_half_started_at_utc,stage
ESP-La Liga,2021,2020-09-12 Cadiz-Osasuna,18851,1491957,6,2020-09-12T20:00:00,1354,Cadiz,2,0,131,Osasuna,2,0,True,True,2020-09-12 21:38:52Z,FT,1.0,False,es,es,0,True,False,False,Spain,Spain,2020-09-12 19:00:00+00:00,0,2,"[{'minute': '10', 'type': 1, 'subType': 1, 'playerName': 'Adrián López', 'playerId': 14089, 'participatingPlayerName': 'Oier Sanjurjo', 'participatingPlayerId': 25932, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '79', 'type': 1, 'subType': 1, 'playerName': 'Rubén García', 'playerId': 119189, 'participatingPlayerName': 'Lucas Torró', 'participatingPlayerId': 249960, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2020-09-12T19:01:22Z,,2020-09-12T20:04:28Z,
ESP-La Liga,2021,2020-09-12 Eibar-Celta Vigo,18851,1491956,6,2020-09-12T15:00:00,824,Eibar,3,1,62,Celta Vigo,4,0,True,True,,FT,,False,es,es,4,True,False,False,Spain,Spain,2020-09-12 14:00:00+00:00,0,0,"[{'minute': '87', 'type': 2, 'subType': 2, 'playerName': 'Pape Diop', 'playerId': 27384, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}]",,,,7,,,,,,2020-09-12T14:01:14Z,,2020-09-12T15:01:59Z,
ESP-La Liga,2021,2020-09-12 Granada-Athletic Club,18851,1491958,6,2020-09-12T17:30:00,925,Granada,3,0,53,Athletic Club,4,0,True,True,2020-09-12 18:45:29Z,FT,0.0,False,es,es,2,True,False,False,Spain,Spain,2020-09-12 16:30:00+00:00,2,0,"[{'minute': '49', 'type': 1, 'subType': 1, 'playerName': 'Yangel Herrera', 'playerId': 318505, 'participatingPlayerName': 'Ángel Montoro', 'participatingPlayerId': 32857, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '53', 'type': 1, 'subType': 1, 'playerName': 'Luis Milla', 'playerId': 279320, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2020-09-12T16:33:02Z,,2020-09-12T17:37:24Z,
ESP-La Liga,2021,2020-09-13 Deportivo Alaves-Real Betis,18851,1491953,6,2020-09-13T13:00:00,60,Deportivo Alaves,3,0,54,Real Betis,3,0,True,True,2020-09-13 14:54:59Z,FT,1.0,False,es,es,1,True,False,False,Spain,Spain,2020-09-13 12:00:00+00:00,0,1,"[{'minute': '94', 'type': 1, 'subType': 1, 'playerName': 'Cristian Tello', 'playerId': 91800, 'participatingPlayerName': 'Sergio Canales', 'participatingPlayerId': 44189, 'runningScore': None, 'field': 1, 'period': 3}]",,,1.0,7,,,,,,2020-09-13T12:01:48Z,,2020-09-13T13:05:33Z,
ESP-La Liga,2021,2020-09-13 Real Valladolid-Real Sociedad,18851,1491961,6,2020-09-13T15:00:00,58,Real Valladolid,4,0,68,Real Sociedad,1,0,True,True,2020-09-13 16:21:42Z,FT,1.0,False,es,es,0,True,False,False,Spain,Spain,2020-09-13 14:00:00+00:00,1,1,"[{'minute': '39', 'type': 1, 'subType': 1, 'playerName': 'Míchel Herrero', 'playerId': 106868, 'participatingPlayerName': 'Sergi Guardiola', 'participatingPlayerId': 323135, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '60', 'type': 1, 'subType': 1, 'playerName': 'Roberto López', 'playerId': 364260, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 3}]",,,,7,,,,,,2020-09-13T14:00:54Z,,2020-09-13T15:05:42Z,
ESP-La Liga,2021,2020-09-13 Valencia-Levante,18851,1491960,6,2020-09-13T20:00:00,55,Valencia,1,0,832,Levante,4,0,True,True,2020-09-13 21:56:36Z,FT,0.0,False,es,es,2,True,False,False,Spain,Spain,2020-09-13 19:00:00+00:00,4,2,"[{'minute': '1', 'type': 1, 'subType': 1, 'playerName': 'José Luis Morales', 'playerId': 135321, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '12', 'type': 1, 'subType': 1, 'playerName': 'Gabriel Paulista', 'playerId': 76810, 'participatingPlayerName': 'Lee Kang-In', 'participatingPlayerId': 367780, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '36', 'type': 1, 'subType': 1, 'playerName': 'José Luis Morales', 'playerId': 135321, 'participatingPlayerName': 'Jorge Miramón', 'participatingPlayerId': 140767, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '39', 'type': 1, 'subType': 1, 'playerName': 'Maxi Gómez', 'playerId': 344119, 'participatingPlayerName': 'Lee Kang-In', 'participatingPlayerId': 367780, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '75', 'type': 1, 'subType': 1, 'playerName': 'Manu Vallejo', 'playerId': 377204, 'participatingPlayerName': 'Denis Cheryshev', 'participatingPlayerId': 110297, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '94', 'type': 1, 'subType': 1, 'playerName': 'Manu Vallejo', 'playerId': 377204, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2020-09-13T19:04:00Z,,2020-09-13T20:07:29Z,
ESP-La Liga,2021,2020-09-13 Villarreal-SD Huesca,18851,1491962,6,2020-09-13T17:30:00,839,Villarreal,1,0,5006,SD Huesca,1,0,True,True,2020-09-13 18:59:28Z,FT,0.0,False,es,es,0,True,False,False,Spain,Spain,2020-09-13 16:30:00+00:00,1,1,"[{'minute': '42', 'type': 1, 'subType': 1, 'playerName': 'Pablo Maffeo', 'playerId': 294848, 'participatingPlayerName': 'Juan Carlos Real', 'participatingPlayerId': 131560, 'runningScore': None, 'field': 1, 'period': 1}, {'minute': '68', 'type': 1, 'subType': 2, 'playerName': 'Gerard Moreno', 'playerId': 97659, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}]",,,,7,,,,,,2020-09-13T16:32:21Z,,2020-09-13T17:36:00Z,
ESP-La Liga,2021,2020-09-19 Celta Vigo-Valencia,18851,1491965,6,2020-09-19T20:00:00,62,Celta Vigo,3,0,55,Valencia,1,0,True,True,2020-09-19 21:14:24Z,FT,0.0,False,es,es,1,True,False,False,Spain,Spain,2020-09-19 19:00:00+00:00,2,1,"[{'minute': '13', 'type': 1, 'subType': 1, 'playerName': 'Iago Aspas', 'playerId': 91242, 'participatingPlayerName': 'Nolito', 'participatingPlayerId': 91267, 'runningScore': None, 'field': 0, 'period': 1}, {'minute': '46', 'type': 1, 'subType': 1, 'playerName': 'Maxi Gómez', 'playerId': 344119, 'participatingPlayerName': 'Daniel Wass', 'participatingPlayerId': 27254, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '57', 'type': 1, 'subType': 1, 'playerName': 'Iago Aspas', 'playerId': 91242, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2020-09-19T19:00:05Z,,2020-09-19T20:02:59Z,
ESP-La Liga,2021,2020-09-19 Getafe-Osasuna,18851,1491966,6,2020-09-19T17:30:00,819,Getafe,4,0,131,Osasuna,2,0,True,True,2020-09-19 18:43:00Z,FT,0.0,False,es,es,5,True,False,False,Spain,Spain,2020-09-19 16:30:00+00:00,1,0,"[{'minute': '54', 'type': 1, 'subType': 1, 'playerName': 'Jaime Mata', 'playerId': 140771, 'participatingPlayerName': None, 'participatingPlayerId': 0, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2020-09-19T16:31:38Z,,2020-09-19T17:32:34Z,
ESP-La Liga,2021,2020-09-19 Villarreal-Eibar,18851,1491972,6,2020-09-19T15:00:00,839,Villarreal,1,0,824,Eibar,1,0,True,True,2020-09-19 16:32:59Z,FT,0.0,False,es,es,4,True,False,False,Spain,Spain,2020-09-19 14:00:00+00:00,2,1,"[{'minute': '50', 'type': 1, 'subType': 1, 'playerName': 'Kike García', 'playerId': 79840, 'participatingPlayerName': 'Edu Expósito', 'participatingPlayerId': 335696, 'runningScore': None, 'field': 1, 'period': 3}, {'minute': '63', 'type': 1, 'subType': 1, 'playerName': 'Gerard Moreno', 'playerId': 97659, 'participatingPlayerName': 'Samuel Chukwueze', 'participatingPlayerId': 363665, 'runningScore': None, 'field': 0, 'period': 3}, {'minute': '71', 'type': 1, 'subType': 1, 'playerName': 'Paco Alcácer', 'playerId': 95953, 'participatingPlayerName': 'Gerard Moreno', 'participatingPlayerId': 97659, 'runningScore': None, 'field': 0, 'period': 3}]",,,0.0,7,,,,,,2020-09-19T14:02:23Z,,2020-09-19T15:05:27Z,
